id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1.02401e+18,Nice Oasis Nr.Downtown & Airport,5618949,Alan,East Boston,42.37809942,-71.03205981,Entire home/apt,137.0,4,10,5/30/2024,1.73,13,79,10,STR-419049
1.02401e+18,Blissful South End Studio,365116307,Healing Homes,Back Bay,42.34384137,-71.0824204,Entire home/apt,222.0,1,15,5/4/2024,2.08,60,313,15,Exempt: This listing is a unit that has contracts with hospitals
1.02401e+18,Luxury water view 2 Br 2Ba Boston,163848078,Adam,Jamaica Plain,42.32835,-71.11052,Entire home/apt,490.0,29,3,5/21/2024,0.51,63,254,3,Str-735468
1.02402e+18,Great 3 Bedroom Close To Boston,5618949,Alan,Roslindale,42.27966142,-71.11763174,Entire home/apt,210.0,4,10,6/3/2024,1.38,13,78,10,STR-419049
1.02402e+18,Stylish South End Studio,365116307,Healing Homes,Back Bay,42.34194184,-71.08277019,Entire home/apt,181.0,1,22,6/3/2024,3.04,60,293,22,Exempt: This listing is a unit that has contracts with hospitals
1.02402e+18,Modern Simple Studio | South End,365116307,Healing Homes,Back Bay,42.3420265,-71.08364585,Entire home/apt,208.0,1,4,3/13/2024,0.59,60,357,4,Exempt: This listing is a unit that has contracts with hospitals
1.02403e+18,(C1) Crisp Clean Cool BackBay Studio!,331225367,Foster,Fenway,42.3478262,-71.0904279,Entire home/apt,225.0,1,22,6/2/2024,3.0,72,118,22,STR-531165
1.02403e+18,"(F31) Fenway Park, 2 Bed, Sunny, Simple & Clean!",331225367,Foster,Fenway,42.34272603,-71.09958198,Entire home/apt,278.0,1,29,6/17/2024,4.42,72,195,29,STR-531165
1.02404e+18,Newly Renovated w/ Exposed Brick,365116307,Healing Homes,South End,42.34182,-71.0817,Entire home/apt,186.0,1,9,6/5/2024,1.38,60,357,9,Exempt: This listing is a unit that has contracts with hospitals
1.02407e+18,Bright & Cozy Studio Apartment,365116307,Healing Homes,Back Bay,42.34292251,-71.08234795,Entire home/apt,191.0,1,30,6/2/2024,4.62,60,296,30,Exempt: This listing is a unit that has contracts with hospitals
1.02421e+18,E_Room Near Convention Center (BCEC),541813300,Dan,South Boston,42.33645,-71.05216,Private room,113.0,1,24,6/13/2024,3.44,7,34,24,STR-545055
1.02425e+18,F_Room Near Convention Center (BCEC),541813300,Dan,South Boston,42.3364,-71.05065,Private room,106.0,1,31,6/4/2024,4.31,7,39,31,STR-545055
1.02425e+18,Fancy 2Br 2Ba Boston Jamica pond,163848078,Adam,Jamaica Plain,42.32825,-71.11078,Entire home/apt,499.0,3,1,5/10/2024,0.68,63,270,1,str-456345
1.02428e+18,H_Room Near Convention Center (BCEC),541813300,Dan,South Boston,42.33641,-71.05219,Private room,113.0,1,17,6/13/2024,2.39,7,0,17,STR-545055
1.02446e+18,Individual bedroom 2,493644675,Tasha,Dorchester,42.29204,-71.0744,Private room,70.0,1,13,6/12/2024,1.77,4,354,13,STR-544890
1.02446e+18,Individual bedroom 3,493644675,Tasha,Dorchester,42.29325,-71.07544,Private room,70.0,1,4,6/12/2024,2.61,4,267,4,STR-544890
1.02453e+18,C_BOSTON_Small Double 5 min Fields Corner Station,351582312,Daniel,Dorchester,42.30329734,-71.06584981,Private room,106.0,1,9,4/26/2024,1.28,11,116,9,STR-545039
1.02453e+18,A_BOSTON_Small Double 5 min Fields Corner Station,351582312,Daniel,Dorchester,42.30317004,-71.06408066,Private room,106.0,1,14,6/8/2024,1.92,11,270,14,STR-525122
1.02456e+18,B_BOSTON_Triple Bed  5 min Fields Corner Station,351582312,Daniel,Dorchester,42.30326018,-71.06580831,Private room,106.0,1,2,12/20/2023,0.27,11,289,2,STR-525122
1.02457e+18,Back Bay Simple Studio Apartment,365116307,Healing Homes,Back Bay,42.34236998,-71.08229195,Entire home/apt,160.0,1,25,6/7/2024,3.54,60,279,25,Exempt: This listing is a unit that has contracts with hospitals
1.02461e+18,Harmonious South End Studio,365116307,Healing Homes,Back Bay,42.34439366,-71.08243918,Entire home/apt,154.0,1,11,6/3/2024,2.1,60,261,11,Exempt: This listing is a unit that has contracts with hospitals
1.02462e+18,Artisan Brick South End Loft,365116307,Healing Homes,Back Bay,42.34206361,-71.0829351,Entire home/apt,225.0,1,17,6/2/2024,2.73,60,304,17,Exempt: This listing is a unit that has contracts with hospitals
1.02463e+18,(4GA) A Beacon Hill Favorite! Private Entrance!,331225367,Foster,Beacon Hill,42.35923,-71.06807,Entire home/apt,215.0,1,30,6/18/2024,4.76,72,53,30,STR-531165
1.02464e+18,South End Serene Studio,365116307,Healing Homes,Back Bay,42.34366249,-71.083606,Entire home/apt,179.0,1,14,5/26/2024,1.99,60,305,14,Exempt: This listing is a unit that has contracts with hospitals
1.02465e+18,"Modern Cozy 65"" Smart HDTV Boston Famous Nightlife",73341042,Natalia,Downtown,42.35053531,-71.06397943,Entire home/apt,241.0,1,23,6/18/2024,3.52,2,103,23,STR-545048
